Country,Human Development Index (HDI),Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank
VERY HIGH HUMAN DEVELOPMENT,,,,,,
Switzerland,0.962,84.0,16.5,13.9,66933.0,5.0
Norway,0.961,83.2,18.2,13.0,64660.0,6.0
Iceland,0.959,82.7,19.2,13.8,55782.0,11.0
"Hong Kong, China (SAR)",0.952,85.5,17.3,12.2,62607.0,6.0
Australia,0.951,84.5,21.1,12.7,49238.0,18.0
Denmark,0.948,81.4,18.7,13.0,60365.0,6.0
Sweden,0.947,83.0,19.4,12.6,54489.0,9.0
Ireland,0.945,82.0,18.9,11.6,76169.0,-3.0
Germany,0.942,80.6,17.0,14.1,54534.0,6.0
Netherlands,0.941,81.7,18.7,12.6,55979.0,3.0
Finland,0.94,82.0,19.1,12.9,49452.0,11.0
Singapore,0.939,82.8,16.5,11.9,90919.0,-10.0
Belgium,0.937,81.9,19.6,12.4,52293.0,7.0
New Zealand,0.937,82.5,20.3,12.9,44057.0,16.0
Canada,0.936,82.7,16.4,13.8,46808.0,9.0
Liechtenstein,0.935,83.3,15.2,12.5,146830.0,-15.0
Luxembourg,0.93,82.6,14.4,13.0,84649.0,-13.0
United Kingdom,0.929,80.7,17.3,13.4,45225.0,9.0
Japan,0.925,84.8,15.2,13.4,42274.0,12.0
Korea (Republic of),0.925,83.7,16.5,12.5,44501.0,9.0
United States,0.921,77.2,16.3,13.7,64765.0,-14.0
Israel,0.919,82.3,16.1,13.3,41524.0,10.0
Malta,0.918,83.8,16.8,12.2,38884.0,12.0
Slovenia,0.918,80.7,17.7,12.8,39746.0,10.0
Austria,0.916,81.6,16.0,12.3,53619.0,-8.0
United Arab Emirates,0.911,78.7,15.7,12.7,62574.0,-15.0
Spain,0.905,83.0,17.9,10.6,38354.0,10.0
France,0.903,82.5,15.8,11.6,45937.0,-2.0
Cyprus,0.896,81.2,15.6,12.4,38188.0,9.0
Italy,0.895,82.9,16.2,10.7,42840.0,0.0
Estonia,0.89,77.1,15.9,13.5,38048.0,8.0
Czechia,0.889,77.7,16.2,12.9,38745.0,4.0
Greece,0.887,80.1,20.0,11.4,29002.0,17.0
Poland,0.876,76.5,16.0,13.2,33034.0,8.0
Bahrain,0.875,78.8,16.3,11.0,39497.0,-1.0
Lithuania,0.875,73.7,16.3,13.5,37931.0,5.0
Saudi Arabia,0.875,76.9,16.1,11.3,46112.0,-10.0
Portugal,0.866,81.0,16.9,9.6,33155.0,3.0
Latvia,0.863,73.6,16.2,13.3,32803.0,4.0
Andorra,0.858,80.4,13.3,10.6,51167.0,-19.0
Croatia,0.858,77.6,15.1,12.2,30132.0,8.0
Chile,0.855,78.9,16.7,10.9,24563.0,14.0
Qatar,0.855,79.3,12.6,10.0,87134.0,-39.0
San Marino,0.853,80.9,12.3,10.8,52654.0,-25.0
Slovakia,0.848,74.9,14.5,12.9,30690.0,1.0
Hungary,0.846,74.5,15.0,12.2,32789.0,-2.0
Argentina,0.842,75.4,17.9,11.1,20925.0,17.0
Türkiye,0.838,76.0,18.3,8.6,31033.0,-3.0
Montenegro,0.832,76.3,15.1,12.2,20839.0,16.0
Kuwait,0.831,78.7,15.3,7.3,52920.0,-32.0
Brunei Darussalam,0.829,74.6,14.0,9.2,64490.0,-42.0
Russian Federation,0.822,69.4,15.8,12.8,27166.0,-1.0
